file,slug,title,word_count,typo_flags,suspected_action,reason
content/blog/2026-04-19-meta-agenti-ai-automatizare-infrastructura.md,2026-04-19-meta-agenti-ai-automatizare-infrastructura,Meta a eliminat 10 ore de muncă inginerească. A rămas doar 30 de minute,897,"scri, strategi",REWRITE,typo slug/content flags
content/blog/afaceri-mici-si-site-web.md,afaceri-mici-si-site-web,De ce afacerile mici au nevoie de un site web clar și simplu pentru a crește,362,,MERGE,duplicate intent group: site_afaceri_mici
content/blog/ai-seo-marketing-2026-1777803585.md,ai-seo-marketing-2026-1777803585,Revoluționarea Marketingului cu AI SEO în 2026,474,strategi,REWRITE,typo slug/content flags + duplicate intent group: ai_seo
content/blog/ai-seo-pentru-afaceri-locale-2026.md,ai-seo-pentru-afaceri-locale-2026,Revolutionează-ți Afacerea Locală cu AI SEO în 2026,284,strategi,REWRITE,typo slug/content flags + duplicate intent group: ai_seo
content/blog/ai-si-timpul-pierdut-cu-taskuri-repetitive.md,ai-si-timpul-pierdut-cu-taskuri-repetitive,Cum poate AI-ul să vă salveze timpul: Reducerea taskurilor repetitive,325,,REWRITE,weak/thin content under 350 words
content/blog/automatizare-ai-afaceri-locale.md,automatizare-ai-afaceri-locale,Revolutionează Afacerile Locale: Cum Îți Poate Ajuta Automatizarea AI Să Atragi Mai Multe Cereri,219,,MERGE,thin content under 250 words
content/blog/automatizare-startfirma.md,automatizare-startfirma,Cum am automatizat StartFIRMĂ: 5500 de firme înregistrate fără intervenție umană,260,,REWRITE,weak/thin content under 350 words
content/blog/cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala.md,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,Cum să atragi clienți din Google pentru o afacere locală,541,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content flags
content/blog/cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai.md,cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai,Cum să creezi o experiență de cumpărare omnichannel pentru clienții tăi,509,"gogle, crezi, omnichanel, scri, strategi, clients",REWRITE,typo slug/content flags
content/blog/cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline.md,cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline,Cum să creezi un program de fidelitate pentru clienții tăi online și offline,456,"crezi, ofline, strategi",REWRITE,typo slug/content flags
content/blog/cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale.md,cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,Cum să folosești influencerii locali pentru a promova afacerile tale,393,"crezi, omnichanel, scri, strategi",REWRITE,typo slug/content flags
content/blog/cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi.md,cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,Cum să folosești rețelele sociale pentru a promova afacerile locale și a atrage clienți noi,438,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content flags
content/blog/cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor.md,cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor,Cum să îmbunătățești strategia ta de marketing cu ajutorul datelor,525,"gogle, scri, strategi, locaala, clients",REWRITE,typo slug/content flags
content/blog/cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali.md,cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali,Cum să utilizezi platformele de publicitate online pentru a-ți crește vânzările în rândul clienților locali,543,"crezi, ofline, strategi",REWRITE,typo slug/content flags
