section,file,slug,title,description,word_count,problem_signals,initial_decision
content/blog,content/blog/2026-04-19-meta-agenti-ai-automatizare-infrastructura.md,2026-04-19-meta-agenti-ai-automatizare-infrastructura,Meta a eliminat 10 ore de muncă inginerească. A rămas doar 30 de minute,,857,,
content/blog,content/blog/afaceri-mici-si-site-web.md,afaceri-mici-si-site-web,De ce afacerile mici au nevoie de un site web clar și simplu pentru a crește,,309,,
content/blog,content/blog/ai-seo-marketing-2026-1777803585.md,ai-seo-marketing-2026-1777803585,Revoluționarea Marketingului cu AI SEO în 2026,,447,,
content/blog,content/blog/ai-seo-pentru-afaceri-locale-2026.md,ai-seo-pentru-afaceri-locale-2026,Revolutionează-ți Afacerea Locală cu AI SEO în 2026,,254,,
content/blog,content/blog/ai-si-timpul-pierdut-cu-taskuri-repetitive.md,ai-si-timpul-pierdut-cu-taskuri-repetitive,Cum poate AI-ul să vă salveze timpul: Reducerea taskurilor repetitive,,295,,
content/blog,content/blog/automatizare-ai-afaceri-locale.md,automatizare-ai-afaceri-locale,Revolutionează Afacerile Locale: Cum Îți Poate Ajuta Automatizarea AI Să Atragi Mai Multe Cereri,,180,,
content/blog,content/blog/automatizare-startfirma.md,automatizare-startfirma,Cum am automatizat StartFIRMĂ: 5500 de firme înregistrate fără intervenție umană,,197,,
content/blog,content/blog/cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala.md,cum-sa-atragi-clienti-din-gogle-pentru-o-afacere-locala,Cum să atragi clienți din Google pentru o afacere locală,,534,gogle,
content/blog,content/blog/cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai.md,cum-sa-crezi-o-experienta-de-cumparare-omnichanel-pentru-clienti-tai,Cum să creezi o experiență de cumpărare omnichannel pentru clienții tăi,,519,"crezi, omnichanel",
content/blog,content/blog/cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline.md,cum-sa-crezi-un-program-de-fidelitate-pentru-clienti-tai-online-si-ofline,Cum să creezi un program de fidelitate pentru clienții tăi online și offline,,467,"crezi, ofline",
content/blog,content/blog/cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale.md,cum-sa-folosesti-influenceri-locali-pentru-a-promova-afacerile-tale,Cum să folosești influencerii locali pentru a promova afacerile tale,,421,,
content/blog,content/blog/cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi.md,cum-sa-folosesti-retelele-sociale-pentru-a-promova-afacerile-locale-si-a-atrage-clienti-noi,Cum să folosești rețelele sociale pentru a promova afacerile locale și a atrage clienți noi,,436,,
content/blog,content/blog/cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor.md,cum-sa-imbunatatesti-strategia-ta-de-marketing-cu-ajutorul-datelor,Cum să îmbunătățești strategia ta de marketing cu ajutorul datelor,,541,"test, strategi",
content/blog,content/blog/cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali.md,cum-sa-utilizezi-platformele-de-publicitate-online-pentru-a-ti-creste-vanzarile-in-randul-clientilor-locali,Cum să utilizezi platformele de publicitate online pentru a-ți crește vânzările în rândul clienților locali,,559,,
content/blog,content/blog/de-ce-afacerile-mici-au-nevoie-de-un-site.md,de-ce-afacerile-mici-au-nevoie-de-un-site,Site-ul tau - Cheia Succesului pentru Afacerile Mici,,130,,
content/blog,content/blog/de-ce-un-site-simplu-aduce-mai-multi-clienti.md,de-ce-un-site-simplu-aduce-mai-multi-clienti,De ce un site simplu aduce mai mulți clienți pentru o afacere mică,,384,,
content/blog,content/blog/efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive.md,efectul-recenzilor-online-asupra-afacerilor-locale-cum-sa-incurajezi-clienti-sa-lase-recenzi-pozitive,Efectul recenziilor online asupra afacerilor locale: Cum să încurajezi clienții să lase recenzii pozitive,,480,"recenzilor, recenzi",
content/blog,content/blog/geo-chatgpt-perplexity.md,geo-chatgpt-perplexity,GEO: Cum apare CapeSystem ca răspuns în ChatGPT și Perplexity,,226,,
content/blog,content/blog/greseli-site-afaceri-mici.md,greseli-site-afaceri-mici,,,324,,
content/blog,content/blog/importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale.md,importanta-certificatelor-de-siguranta-pentru-site-urile-web-ale-afacerilor-locale,Importanța certificatelor de siguranță pentru site-urile web ale afacerilor locale,,430,,
content/blog,content/blog/metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare.md,metode-de-promovare-a-afacerilor-locale-prin-intermediul-evenimentelor-comunitare,Metode de promovare a afacerilor locale prin intermediul evenimentelor comunitare,,613,,
content/blog,content/blog/optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente.md,optimizarea-continutului-pentru-afaceri-locale-cum-sa-scri-titluri-si-descrieri-meta-eficiente,Optimizarea conținutului pentru afaceri locale: Cum să scrii titluri și descrieri meta eficiente,,563,scri,
content/blog,content/blog/p1.md,p1,Sistem de Automatizare AI,,338,,
content/blog,content/blog/p2.md,p2,Optimizare Web Systems,,378,,
content/blog,content/blog/pagina-principala-afaceri-mici.md,pagina-principala-afaceri-mici,Importanța unei pagini principale clare pentru afacerile mici,,333,,
content/blog,content/blog/seo-ai-hijacking.md,seo-ai-hijacking,SEO Hijacking în 2026: Cum dominăm motoarele de căutare folosind AI,,241,,
content/blog,content/blog/sistemul-de-autoritate.md,sistemul-de-autoritate,Arhitectura de Autoritate: Cum am construit un sistem care se auto-susține,,173,,
